id,created_at,text,hashtags,media_url
1588896874081423361,2022-11-05 14:11:49+00:00,b'Future tag team partner @WWE @BrockLesnar https://t.co/3iKTMYkAd5',[],http://pbs.twimg.com/media/FgzlRynVIAAPdAb.jpg
1587549905739927552,2022-11-01 20:59:27+00:00,b'RT @boxingscene: Amanda Serrano-Erika Cruz Undisputed Championship Ordered By WBA https://t.co/AEgCrKF3OU https://t.co/e9mUd927Xt',[],http://pbs.twimg.com/media/FggSS0RacAA3bgc.jpg
1587502672227115013,2022-11-01 17:51:46+00:00,b'Happy Halloween @JuliaRose_33 https://t.co/BdXEWTC9X9',[],http://pbs.twimg.com/media/FgfxQ9aVsAE_j2X.jpg
1586644770230743041,2022-10-30 09:02:46+00:00,b'RT @MostVpromotions: 6-0 https://t.co/wIB0GuotA1',[],http://pbs.twimg.com/media/FgTkzBmUoAE5uuG.jpg
1586641889033211904,2022-10-30 08:51:19+00:00,b'RT @BleacherReport: JAKE PAUL BEATS ANDERSON SILVA VIA UNANIMOUS DECISION \xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1 https://t.co/peWottjh8G',[],http://pbs.twimg.com/media/FgSrQBwVUAAg8ne.jpg
1586641800629870592,2022-10-30 08:50:58+00:00,b'RT @SportsCenter: JAKE PAUL PUT SILVA DOWN \xe2\x80\xbc\xef\xb8\x8f\n\n(via @ShowtimeBoxing)\nhttps://t.co/kLr9X9EKI9',[],http://pbs.twimg.com/media/FgSoun7WQAEqPKw.jpg
1586622658732400640,2022-10-30 07:34:54+00:00,b'Thank you Anderson. Obrigado.\n\nIt was an honor. https://t.co/tbqe83xO9c',[],http://pbs.twimg.com/media/FgTQ4sMUUAAZ4vX.jpg
1586591475956998144,2022-10-30 05:30:59+00:00,b'6-0. https://t.co/jviwNjlVnZ',[],http://pbs.twimg.com/media/FgS0iW9UoAEeoE3.jpg
1586465120959406080,2022-10-29 21:08:54+00:00,"b'RT @jakepaul: $10,000 to one person who\nlikes, retweets and comments: \n\xe2\x80\x9cOrder #PaulSilva\xe2\x80\x9d\n\nhttps://t.co/EoEg69maGI https://t.co/K2Cc5u4IVF'","[{'text': 'PaulSilva', 'indices': [78, 88]}]",http://pbs.twimg.com/media/FgPdQ3RUAAAnD2U.jpg
1586459540744118273,2022-10-29 20:46:44+00:00,b'Locked and Loaded. https://t.co/Q2or8bKO0O',[],http://pbs.twimg.com/media/FgQ8iozUoAA8vyu.jpg
1586419956136091649,2022-10-29 18:09:26+00:00,"b'A football player, a YouTuber and a Dr. taking on MMA tonight. I got my money on us. #PaulSilva @betr https://t.co/CS35UdejAJ'","[{'text': 'PaulSilva', 'indices': [85, 95]}]",http://pbs.twimg.com/media/FgQYipwUAAELIZA.jpg
1586370496924332033,2022-10-29 14:52:54+00:00,b'WAR https://t.co/eOJMbinG4G',[],http://pbs.twimg.com/media/FgPrjhwVEAIjDop.jpg
1586354782456774656,2022-10-29 13:50:27+00:00,"b'$10,000 to one person who\nlikes, retweets and comments: \n\xe2\x80\x9cOrder #PaulSilva\xe2\x80\x9d\n\nhttps://t.co/EoEg69maGI https://t.co/K2Cc5u4IVF'","[{'text': 'PaulSilva', 'indices': [64, 74]}]",http://pbs.twimg.com/media/FgPdQ3RUAAAnD2U.jpg
1586250781082062848,2022-10-29 06:57:11+00:00,"b'To all the youth of Iran fighting for your rights, we see you and support you. #FreeIran #Mahsa_Amini https://t.co/OrN9WSPVkC'","[{'text': 'FreeIran', 'indices': [79, 88]}, {'text': 'Mahsa_Amini', 'indices': [89, 101]}]",http://pbs.twimg.com/media/FgN-qriUcAATSQD.jpg
1586230284449505280,2022-10-29 05:35:45+00:00,b'2 GOATS and a Problem Child. Pinch me. https://t.co/eie2xk5Dv1 https://t.co/rlrbsiBl2X',[],http://pbs.twimg.com/media/FgNqj-dUYAAiUmn.jpg
1586229604313747456,2022-10-29 05:33:03+00:00,b'RT @LoganPaul: THE PROBLEM CHILD IS READY https://t.co/g2YTR5DoVC',[],http://pbs.twimg.com/media/FgNAL4bVEAE-_g7.jpg
1586083995300769793,2022-10-28 19:54:27+00:00,b'If I lose tomorrow no worries life just got Betr \xe2\x9a\xa1\xef\xb8\x8f https://t.co/BIVfgmxG4y',[],http://pbs.twimg.com/ext_tw_video_thumb/1586083840493166594/pu/img/n7s-E3JPqsLOqFq2.jpg
1586055145107824646,2022-10-28 17:59:48+00:00,b'@JLeonLove https://t.co/rnw3JFJrHY',[],http://pbs.twimg.com/tweet_video_thumb/FgLMvhWVQAALy8B.jpg
1586053376323616769,2022-10-28 17:52:47+00:00,b'we have a fight. buy the PPV\n\nhttps://t.co/EoEg69maGI https://t.co/bQcDiLNsGd',[],http://pbs.twimg.com/ext_tw_video_thumb/1586053095238160385/pu/img/sTCrFwSBEbzdeBvq.jpg
1585816996767182848,2022-10-28 02:13:29+00:00,b'RT @MostVpromotions: #PaulSilva 2 days. https://t.co/5bUVhaqxV3',"[{'text': 'PaulSilva', 'indices': [21, 31]}]",http://pbs.twimg.com/media/FgHx_YDVQAAx1RX.jpg
1585759331332501504,2022-10-27 22:24:21+00:00,b'The bet is official @SpiderAnderson https://t.co/cmQJWJImFG',[],http://pbs.twimg.com/ext_tw_video_thumb/1585759265700003841/pu/img/epD5csShXCFjBtTl.jpg
1585501424753922048,2022-10-27 05:19:31+00:00,b'RT @betr: Of course the horse came to the interview \xf0\x9f\x98\x82 https://t.co/W2QMl5ySBq',[],http://pbs.twimg.com/media/FgCwonVVEAAnEas.jpg
1585467127523250176,2022-10-27 03:03:14+00:00,b'RT @ESPNRingside: Jake Paul pulled up to open workouts on a horse \xf0\x9f\x98\x85\xf0\x9f\x90\xb4\n\n(via @MarcRaimondi) https://t.co/aMxpVWY2X7',[],http://pbs.twimg.com/ext_tw_video_thumb/1585456225302429696/pu/img/LJZyRu0KnFO5s7Nk.jpg
1585414581727682560,2022-10-26 23:34:26+00:00,b'Dear @KSI you say all I have is a right hand. \n\nSo why then are you so afraid to fight me? \n\nI\xe2\x80\x99m genuinely curious. Even your own fans are starting to lose respect for you\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc https://t.co/T5CYUDG8ZU',[],http://pbs.twimg.com/media/FgCGKFtVIAEHQVN.jpg
1585379277721067520,2022-10-26 21:14:09+00:00,"b'@KSI this you? \n\nbut yes, of course I\xe2\x80\x99m winning. https://t.co/98KrYtGa07'",[],http://pbs.twimg.com/ext_tw_video_thumb/1585379269881913345/pu/img/9svNAmd6-vPSpL1o.jpg
